いきちがい	1842	1842	6593	行き違い
いきちがい	1932	1932	8176	行き違い
いとこ	1852	1852	7923	従妹
いとこ	1852	1852	7340	従姉
おしこみ	1852	1852	6503	押し込み
おちこぼれ	1852	1852	6318	落ちこぼれ
おばさん	2039	2039	5073	叔母さん
きちくがく	1852	1852	11758	鬼畜学
くすぐり	1852	1852	8951	擽り
じゅうい	2039	2039	4907	獣医
せめ	1852	1852	6325	責め
つっこみ	1852	1852	8571	突っこみ
であい	1852	1852	4345	出会い
でか	2039	2039	4881	デカ
どもり	1852	1852	8121	吃り
ぬれ	1852	1852	5334	濡れ
のぞき	1842	1842	6140	覗き
はい	577	577	4774	這入
ひきまわし	1852	1852	7013	引き回し
ひねくっ	841	841	5815	弄っ
ひねくり	842	842	6264	弄り
ひねくりゃ	834	834	6716	弄りゃ
ふちのやまい	1852	1852	7320	不治の病
ほもがく	1852	1852	11758	ホモ学
まちあわせ	1852	1852	7732	待合せ
もよおし	842	842	5849	もよおし
もよおし	1852	1852	8353	もよおし
