M0	BOS/EOS,*,*,*,*,*,*
M1	その他,間投,*,*,*,*,*
F0	フィラー,*,*,*,*,*,*
F1	フィラー,*,*,*,*,*,あ
F2	フィラー,*,*,*,*,*,あの
F3	フィラー,*,*,*,*,*,あのー
F4	フィラー,*,*,*,*,*,あー
F5	フィラー,*,*,*,*,*,え
F6	フィラー,*,*,*,*,*,えー
F7	フィラー,*,*,*,*,*,えーと
F8	フィラー,*,*,*,*,*,と
F9	フィラー,*,*,*,*,*,ま
D0	副詞,一般,*,*,*,*,*
D1	副詞,一般,*,*,*,*,もう
D2	副詞,一般,*,*,*,*,よく
D3	副詞,一般,*,*,*,*,より
D4	副詞,助詞類接続,*,*,*,*,*
D5	副詞,助詞類接続,*,*,*,*,こう
D6	副詞,助詞類接続,*,*,*,*,さ
D7	副詞,助詞類接続,*,*,*,*,さらに
D8	副詞,助詞類接続,*,*,*,*,すぐ
D9	副詞,助詞類接続,*,*,*,*,そう
D10	副詞,助詞類接続,*,*,*,*,どう
D11	副詞,助詞類接続,*,*,*,*,どぉ
D12	副詞,助詞類接続,*,*,*,*,なぜ
D13	副詞,助詞類接続,*,*,*,*,なんでも
D14	副詞,助詞類接続,*,*,*,*,まだ
D15	副詞,助詞類接続,*,*,*,*,ホッ
D16	副詞,助詞類接続,*,*,*,*,何でも
X0	助動詞,*,*,*,下二・タ行,仮定形,つ
X1	助動詞,*,*,*,下二・タ行,体言接続,つ
X2	助動詞,*,*,*,下二・タ行,命令ｙｏ,つ
X3	助動詞,*,*,*,下二・タ行,基本形,つ
X4	助動詞,*,*,*,下二・タ行,未然形,つ
X5	助動詞,*,*,*,下二・タ行,連用形,つ
X6	助動詞,*,*,*,不変化型,基本形,う
X7	助動詞,*,*,*,不変化型,基本形,じ
X8	助動詞,*,*,*,不変化型,基本形,じゃん
X9	助動詞,*,*,*,不変化型,基本形,じゃン
X10	助動詞,*,*,*,不変化型,基本形,っ
X11	助動詞,*,*,*,不変化型,基本形,ぬ
X12	助動詞,*,*,*,不変化型,基本形,ひん
X13	助動詞,*,*,*,不変化型,基本形,へん
X14	助動詞,*,*,*,不変化型,基本形,まい
X15	助動詞,*,*,*,不変化型,基本形,やん
X16	助動詞,*,*,*,不変化型,基本形,ん
X17	助動詞,*,*,*,不変化型,基本形,ー
X18	助動詞,*,*,*,不変化型,基本形,～
X19	助動詞,*,*,*,不変化形,基本形,ん
X20	助動詞,*,*,*,五段・ラ行アル,仮定形,ある
X21	助動詞,*,*,*,五段・ラ行アル,仮定縮約１,ある
X22	助動詞,*,*,*,五段・ラ行アル,体言接続特殊,ある
X23	助動詞,*,*,*,五段・ラ行アル,命令ｅ,ある
X24	助動詞,*,*,*,五段・ラ行アル,基本形,ある
X25	助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある
X26	助動詞,*,*,*,五段・ラ行アル,未然形,ある
X27	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある
X28	助動詞,*,*,*,五段・ラ行アル,連用形,ある
X29	助動詞,*,*,*,五段・ラ行特殊,仮定形,ござる
X30	助動詞,*,*,*,五段・ラ行特殊,仮定縮約１,ござる
X31	助動詞,*,*,*,五段・ラ行特殊,命令ｅ,ござる
X32	助動詞,*,*,*,五段・ラ行特殊,命令ｉ,ござる
X33	助動詞,*,*,*,五段・ラ行特殊,基本形,ござる
X34	助動詞,*,*,*,五段・ラ行特殊,基本形,ゴザル
X35	助動詞,*,*,*,五段・ラ行特殊,未然ウ接続,ござる
X36	助動詞,*,*,*,五段・ラ行特殊,未然形,ござる
X37	助動詞,*,*,*,五段・ラ行特殊,未然特殊,ござる
X38	助動詞,*,*,*,五段・ラ行特殊,連用タ接続,ござる
X39	助動詞,*,*,*,五段・ラ行特殊,連用形,ござる
X40	助動詞,*,*,*,五段・ラ行特殊,連用形,ゴザル
X41	助動詞,*,*,*,形容詞・イ段,ガル接続,らしい
X42	助動詞,*,*,*,形容詞・イ段,ガル接続,無い
X43	助動詞,*,*,*,形容詞・イ段,仮定形,らしい
X44	助動詞,*,*,*,形容詞・イ段,仮定形,無い
X45	助動詞,*,*,*,形容詞・イ段,仮定縮約１,らしい
X46	助動詞,*,*,*,形容詞・イ段,仮定縮約１,無い
X47	助動詞,*,*,*,形容詞・イ段,仮定縮約２,らしい
X48	助動詞,*,*,*,形容詞・イ段,仮定縮約２,無い
X49	助動詞,*,*,*,形容詞・イ段,体言接続,らしい
X50	助動詞,*,*,*,形容詞・イ段,体言接続,無い
X51	助動詞,*,*,*,形容詞・イ段,命令ｅ,らしい
X52	助動詞,*,*,*,形容詞・イ段,命令ｅ,無い
X53	助動詞,*,*,*,形容詞・イ段,基本形,らしい
X54	助動詞,*,*,*,形容詞・イ段,基本形,無い
